,min_x,min_y,max_x,max_y
491,123.4625,-31.3276,124.2625,-30.5276
492,123.4625,-30.5276,124.2625,-29.7276
493,123.4625,-29.7276,124.2625,-28.9276
494,123.4625,-28.9276,124.2625,-28.1276
495,123.4625,-28.1276,124.2625,-27.3276
496,123.4625,-27.3276,124.2625,-26.5276
497,123.4625,-26.5276,124.2625,-25.7276
498,123.4625,-25.7276,124.2625,-24.9276
499,123.4625,-24.9276,124.2625,-24.1276
500,123.4625,-24.1276,124.2625,-23.3276
501,123.4625,-23.3276,124.2625,-22.5276
502,123.4625,-22.5276,124.2625,-21.7276
503,123.4625,-21.7276,124.2625,-20.9276
504,123.4625,-20.9276,124.2625,-20.1276
505,123.4625,-20.1276,124.2625,-19.3276
506,123.4625,-19.3276,124.2625,-18.5276
507,123.4625,-18.5276,124.2625,-17.7276
508,123.4625,-17.7276,124.2625,-16.9276
509,123.4625,-16.9276,124.2625,-16.1276
510,123.4625,-16.1276,124.2625,-15.3276
511,123.4625,-15.3276,124.2625,-14.5276
512,123.4625,-14.5276,124.2625,-13.7276
513,123.4625,-13.7276,124.2625,-12.9276
514,123.4625,-12.9276,124.2625,-12.1276
515,123.4625,-12.1276,124.2625,-11.3276
516,123.4625,-11.3276,124.2625,-10.5276
517,123.4625,-10.5276,124.2625,-9.7276
518,124.2625,-39.3276,125.0625,-38.5276
519,124.2625,-38.5276,125.0625,-37.7276
520,124.2625,-37.7276,125.0625,-36.9276
521,124.2625,-36.9276,125.0625,-36.1276
522,124.2625,-36.1276,125.0625,-35.3276
523,124.2625,-35.3276,125.0625,-34.5276
524,124.2625,-34.5276,125.0625,-33.7276
525,124.2625,-33.7276,125.0625,-32.9276
526,124.2625,-32.9276,125.0625,-32.1276
527,124.2625,-32.1276,125.0625,-31.3276
528,124.2625,-31.3276,125.0625,-30.5276
529,124.2625,-30.5276,125.0625,-29.7276
530,124.2625,-29.7276,125.0625,-28.9276
531,124.2625,-28.9276,125.0625,-28.1276
532,124.2625,-28.1276,125.0625,-27.3276
533,124.2625,-27.3276,125.0625,-26.5276
534,124.2625,-26.5276,125.0625,-25.7276
535,124.2625,-25.7276,125.0625,-24.9276
536,124.2625,-24.9276,125.0625,-24.1276
537,124.2625,-24.1276,125.0625,-23.3276
538,124.2625,-23.3276,125.0625,-22.5276
539,124.2625,-22.5276,125.0625,-21.7276
540,124.2625,-21.7276,125.0625,-20.9276
541,124.2625,-20.9276,125.0625,-20.1276
542,124.2625,-20.1276,125.0625,-19.3276
543,124.2625,-19.3276,125.0625,-18.5276
544,124.2625,-18.5276,125.0625,-17.7276
545,124.2625,-17.7276,125.0625,-16.9276
546,124.2625,-16.9276,125.0625,-16.1276
547,124.2625,-16.1276,125.0625,-15.3276
548,124.2625,-15.3276,125.0625,-14.5276
549,124.2625,-14.5276,125.0625,-13.7276
550,124.2625,-13.7276,125.0625,-12.9276
551,124.2625,-12.9276,125.0625,-12.1276
552,124.2625,-12.1276,125.0625,-11.3276
553,124.2625,-11.3276,125.0625,-10.5276
554,124.2625,-10.5276,125.0625,-9.7276
555,125.0625,-39.3276,125.8625,-38.5276
556,125.0625,-38.5276,125.8625,-37.7276
557,125.0625,-37.7276,125.8625,-36.9276
558,125.0625,-36.9276,125.8625,-36.1276
559,125.0625,-36.1276,125.8625,-35.3276
560,125.0625,-35.3276,125.8625,-34.5276
561,125.0625,-34.5276,125.8625,-33.7276
562,125.0625,-33.7276,125.8625,-32.9276
563,125.0625,-32.9276,125.8625,-32.1276
564,125.0625,-32.1276,125.8625,-31.3276
565,125.0625,-31.3276,125.8625,-30.5276
566,125.0625,-30.5276,125.8625,-29.7276
